Designator,Mid X,Mid Y,Rotation,Layer
J1,89.345,-89.115,90.0,top
J2,89.345,-71.335,90.0,top
J3,82.35,-91.85,90.0,top
J4,83.4,-95.72,270.0,top
J5,83.09,-103.73,180.0,top
J6,93.93,-103.71,180.0,top
J7,105.23,-103.8,180.0,top
J8,115.8,-103.8,180.0,top
LS1,113.43,-87.03,0.0,top
Q1,103.84,-90.59,180.0,top
R1,90.12,-96.3,180.0,top
R2,92.54,-91.27,270.0,top
R3,93.89,-91.27,270.0,top
R4,93.09,-96.4,180.0,top
R5,95.06,-91.25,270.0,top
R6,95.69,-96.38,180.0,top
R7,96.16,-91.28,270.0,top
R8,98.56,-96.38,180.0,top
R9,98.98,-91.55,180.0,top
